2025.01.01 00:00:00,0,New Year's Day,USD,,,
2025.01.01 00:00:00,0,New Year's Day,EUR,,,
2025.01.01 00:00:00,0,New Year's Day,EUR,,,
2025.01.01 00:00:00,0,New Year's Day,ZAR,,,
2025.01.01 00:00:00,0,New Year's Day,EUR,,,
2025.01.01 00:00:00,0,New Year's Day,EUR,,,
2025.01.01 11:00:00,1,New Car Registrations m/m,EUR,37800000.0,,-1600000.0
2025.01.01 11:00:00,1,New Car Registrations y/y,EUR,1500000.0,,-12700000.0
2025.01.02 11:15:00,2,S&P Global Manufacturing PMI,EUR,53300000.0,52000000.0,53100000.0
2025.01.02 11:45:00,2,S&P Global Manufacturing PMI,EUR,46200000.0,44400000.0,44500000.0
2025.01.02 11:50:00,2,S&P Global Manufacturing PMI,EUR,41900000.0,41900000.0,41900000.0
2025.01.02 11:55:00,2,S&P Global Manufacturing PMI,EUR,42500000.0,42500000.0,42500000.0
2025.01.02 12:00:00,1,ECB Private Sector Loans y/y,EUR,1500000.0,1600000.0,1600000.0
2025.01.02 12:00:00,1,ECB M3 Money Supply y/y,EUR,3800000.0,3700000.0,3400000.0
2025.01.02 12:00:00,1,ECB Non-Financial Corporations Loans y/y,EUR,1000000.0,1200000.0,1200000.0
2025.01.02 12:00:00,2,ECB Households Loans y/y,EUR,900000.0,900000.0,800000.0
2025.01.02 12:00:00,2,S&P Global Manufacturing PMI,EUR,45100000.0,45200000.0,45200000.0
2025.01.02 16:30:00,1,Initial Jobless Claims 4-Week Average,USD,223250000.0,224643000.0,226500000.0
2025.01.02 16:30:00,2,Continuing Jobless Claims,USD,1844000.0,1903000.0,1910000.0
2025.01.02 16:30:00,3,Initial Jobless Claims,USD,211000000.0,219000000.0,219000000.0
2025.01.02 17:45:00,3,S&P Global Manufacturing PMI,USD,49400000.0,50500000.0,49700000.0
2025.01.02 18:00:00,2,Construction Spending m/m,USD,0.0,300000.0,400000.0
2025.01.02 19:00:00,1,EIA Heating Oil Stocks Change,USD,-416000.0,228000.0,-62000.0
2025.01.02 19:00:00,1,EIA Gasoline Production Change,USD,-959000.0,-243000.0,51000.0
2025.01.02 19:00:00,1,EIA Refinery Crude Oil Daily Inputs Change,USD,41000.0,,205000.0
2025.01.02 19:00:00,1,EIA Gasoline Stocks Change,USD,7717000.0,358000.0,1630000.0
2025.01.02 19:00:00,1,EIA Refinery Utilization Rate Change,USD,200000.0,,700000.0
2025.01.02 19:00:00,1,EIA Distillate Fuel Production Change,USD,99000.0,3000.0,178000.0
2025.01.02 19:00:00,1,EIA Distillates Stocks Change,USD,6406000.0,-432000.0,-1694000.0
2025.01.02 19:00:00,1,EIA Crude Oil Imports Change,USD,323000.0,342000.0,995000.0
2025.01.02 19:00:00,2,EIA Cushing Crude Oil Stocks Change,USD,-142000.0,-551000.0,-320000.0
2025.01.02 19:00:00,3,EIA Crude Oil Stocks Change,USD,-1178000.0,-1682000.0,-4237000.0
2025.01.02 19:30:00,1,8-Week Bill Auction,USD,4240000.0,,4265000.0
2025.01.02 19:30:00,1,4-Week Bill Auction,USD,4265000.0,,4260000.0
2025.01.02 20:00:00,1,New Car Registrations y/y,EUR,-4900000.0,,-10800000.0
2025.01.02 20:00:00,1,New Car Registrations m/m,EUR,-14900000.0,,-1800000.0
2025.01.03 11:00:00,2,Unemployment Change,EUR,-25300000.0,-36429000.0,-16036000.0
2025.01.03 11:55:00,1,Unemployment n.s.a.,EUR,2807000.0,2790000.0,2774000.0
2025.01.03 11:55:00,2,Unemployment Change,EUR,10000000.0,12000000.0,7000000.0
2025.01.03 11:55:00,2,Unemployment Rate,EUR,6100000.0,6100000.0,6100000.0
2025.01.03 11:55:00,2,Unemployment,EUR,2869000.0,2878000.0,2860000.0
2025.01.03 18:00:00,1,ISM Manufacturing New Orders,USD,52500000.0,46600000.0,50400000.0
2025.01.03 18:00:00,2,ISM Manufacturing Employment,USD,45300000.0,46700000.0,48100000.0
2025.01.03 18:00:00,3,ISM Manufacturing PMI,USD,49300000.0,48100000.0,48400000.0
2025.01.03 18:00:00,3,ISM Manufacturing Prices Paid,USD,52500000.0,51900000.0,50300000.0
2025.01.03 18:30:00,1,EIA Natural Gas Storage Change,USD,-116000000.0,-116000000.0,-93000000.0
2025.01.03 19:00:00,2,ECB Executive Board Member Lane Speech,EUR,,,
